Data set reference and name,,,,,,Data set description ,,,,,Standards,,,Data sharing,,,,,,,,,Archiving and preservation ,,,,
Work Package,Organisation,Dataset Title,Dataset Identifier,"Status - July 2016 (ongoing, in progress, due date)",New entry to data management plan since M6? Yes/No,Generated or collected,Origin,Scale,Who is this useful for?,Similar existing dataset and possibility for integration? Value of this new dataset?,What standards and methodologies will be utilised for data collection and management?,"Outline the metadata, documentation or other supporting material that should accompany the data for it to be interpreted correctly","Status and location of metadata, documentation or other supporting material","Licensing, data protection, ownership and copyright",Can the data be published under an open licence?,"
If the data cannot be published openly, why?
","How will the data be shared? (including access procedures, dissemination, software/tools needed for enabling reuse ",Which repository will be used for the data? Why this respository?,Is it ready to be published?,Current location of dataset,Dataset Link,Licence,How long should the data be preserved? How will it exceed the length of the project if necessary?,Approx end volume,Who is responsible in your organisation for the data managament and curation?,Quality assurance and back up procedures?,Associated costs and how these will be covered - do you need to purchase storage? How much time will it take for a person to manage the data - how will this be covered?
WP1,ODI,Corpora of crawled web-based adverts from LinkedIn,WebSiteHarvest,Finished,No,Collected ,LinkedIn,"46 terms, 31 languages, 47 countries, 1 harvest per day, 2162 data points per day
",Internal demand analysis only.,"Many datasets are collected in this area, however due to the specific nature of this study, collection of new data is required and integration with existing datasets not viable.  The value of this dataset comes from the provision of an up-to-date snapshot of current data science skills needs across the EU.  ",All data collected is translated into CSV format.,"
Data will be not available for reuse or accessible by anyone outside of the project. The data collected will be used for internal analysis to inform the creation of curriculum. 
",Metadata is not publically available,"The terms of the LinkedIn user agreement now forbid harvesting and collection of data without express permission. When the data was collected, this was not the case.

https://www.linkedin.com/legal/user-agreement?trk=hb_ft_userag",No,"The terms of the LinkedIn user agreement forbid harvesting and collection of data without express permission.

""Use manual or automated software, devices, scripts robots, other means or processes to access, “scrape,” “crawl” or “spider” the Services or any related data or information;""

https://www.linkedin.com/legal/user-agreement?trk=hb_ft_userag","Data will be not shared or available for reuse
",Using Github so that the data stays close to its usage and can be used quickly and easily.,N/A,N/A,N/A,N/A,"
Until the end of the project
",<1Gb,"ODI lead data management and curation, other WP1 partners will contribute","
Backed up to an internal ODI repository 
",Approximately 1 day person effort per month
WP1,ODI,Aggregated statistics of European skill demand based on web-based job adverts,WebSiteStatistics,Finished,No,Collected,"Adzuna API, Trovit",Varied,"
Populating the dashboard, internal demand analysis and to inform curriculum development. 
","Many datasets are collected in this area, however due to the specific nature of this study, collection of new data is required and integration with existing datasets not viable.  The value of this dataset comes from the provision of an up-to-date snapshot of current data science skills needs across the EU.  ",All data collected is translated into CSV format.,"
The Adzuna data is accessible via the Adzuna API. The Trovit data will be not available for reuse or accessible by anyone outside of the project.
",Metadata is not publically available,"
The data will be available for use via the EDSA dashboard However it will not be available to download as this contravenes Trovit’s terms and conditions.
",No,"
Trovit’s terms of use prohibit the use of their data. The research exception allows us to use the data but not to make it available in raw format for others to consume for commercial purposes.
","
Via the EDSA dashboard
","
In an internal JSI repository
",N/A,N/A,N/A,N/A,"
Until the end of the project
",<1Gb,"ODI lead data management and curation, other WP1 partners will contribute","
Backed up in an internal JSI repository
",Approximately 1 day person effort per month
WP1,ODI,Individual results from demand analysis,IndividualResponses,Ongoing,No,Generated ,Interviews and survey,"584 surveys, 108 interviews at present. Online survey still open.",Internal demand analysis. ,A number of surveys exist in this domain but their data is not available to this project.  This data will enable EDSA to build up a country by country view of current capacity and requirements for data science skills.,Data collection methods outlined in D1.4. Translated into CSV format.,Data will be not shared or available for reuse. The data collected will be used for internal analysis to inform the creation of curriculum. Anonymised data will be publicly available.,Metadata is not publically available,Raw data will be owned by the project and unlicensed. It will not be available for reuse.,No,Data protection of personal data,Data will be not shared or available for reuse,Internal ODI repository,N/A,N/A,N/A,N/A,Until the end of the project,<100Mb,"ODI lead data management and curation, other WP1 partners will contribute",Backed up to an internal ODI respository ,Approximately 1 day effort per month
WP1,ODI,"Summary data from surveys and interviews
","
DemandAnalysisSummary
",Finished,Yes,Generated,Interviews and survey,"585 surveys, 108 interviews.","
External analysis of respondents who took the surveys and interviews.
",None,Data collection methods outlined in D1.4. Translated into CSV format.,A README.md file is available detailing the data structure and basic usage.,"
https://theodi.github.io/edsa-demand-analysis-summary-data/ 
",Creative Commons Attribution (CC BY 4.0) https://creativecommons.org/licenses/by/4.0/,Yes,N/A,"
Data will be available to access from the EDSA website and the ODIs Github repository. 
",Github/ EDSA  website ,Yes,"https://theodi.github.io/edsa-demand-analysis-summary-data/ 
","https://theodi.github.io/edsa-demand-analysis-summary-data/ 
",Creative Commons Attribution (CC BY 4.0) https://creativecommons.org/licenses/by/4.0/,As long as Github exists as a minimum. Beyond that a value judgement would have to be made.,<100Mb,"ODI lead data management and curation, other WP1 partners will contribute","
Stored in external repositories - EDSA website and Github
",Github free and public
WP1,ODI,"De-identified survey responses from demand analysis
",DeidentifiedResponses,Ongoing,No,Generated,Survey,"496 survey results
",External analysis of results and trends by anyone who wishes to gather survey data in the area of data science,There are a number of other surveys that have been aggregated that we can compare our result too and use these results if necessary. This dataset has the same eventual value to others in the area,Data collection methods outlined in D1.4. Translated into CSV format.,A README.md file is available detailing the data structure and basic usage.,http://davetaz.github.io/quantitative-data-from-edsa-demand-analysis-/,Creative Commons Attribution (CC BY 4.0) https://creativecommons.org/licenses/by/4.0/,Yes,N/A,Data will be available to view on the EDSA dashboard and accessible for free in the EDSA dashboard Github repository. ,Github/ EDSA Dashboard on website ,Yes,Github/ EDSA Dashboard on website ,http://davetaz.github.io/quantitative-data-from-edsa-demand-analysis-/,Creative Commons Attribution (CC BY 4.0) https://creativecommons.org/licenses/by/4.0/,As long as Github exists as a minimum. Beyond that a value judgement would have to be made.,<100Mb,"ODI lead data management and curation, other WP1 partners will contribute","
Stored in external repositories - EDSA website and Github
",Github free and public
WP1,ODI,Recordings and transcriptions of interviews,InterviewTranscipts,Finished,No,Generated,Interviews,"108 transcripts, 108 recordings",Internal demand analysis only ,No similar datasets exist that are usable for this project.  The interviews provide insights and data points for use in the demand analysis.,Qualitative research methodology for collection outlined in D1.4 ,"Data will be not available for reuse or accessible by anyone outside of the project. The data collected will be used for internal analysis to inform the creation of curriculum.
",N/A,Raw data will be owned by the project and unlicensed. It will not be available for reuse.,No,Data protection of personal data,Data will be not shared or available for reuse. The data collected will be used for internal review to inform the creation of curriculum and will only be available publically as anonymous data ,Internal ODI repository,N/A,N/A,N/A,N/A,Until the end of the project,< 3GB,"ODI lead data management and curation, other WP1 partners will contribute",Backed up to an internal ODI respository ,As part of the subcontracting costs of WP1
WP1,ODI,ideXlab search platform results ,ExpertIdentification,Ongoing,No,Collected ,Research publications,Final scale not yet known as collection is ongoing,"
Internal demand analysis and to inform curriculum development. Provides insights into offer side of skills analysis.
","
Not in this area.  This dataset will provide validation of the demand analysis and form the basis for further insights.
","
The ideXlab search engine will use the sampling approach outlined in D1.2. for data collection. CSV data will be created 
","
Data will be not available for reuse or accessible by anyone outside of the project. The data collected will be used for internal analysis to inform the creation of curriculum. 
","Accompanying document to explain data structure. This will not be made open.
",Raw data will be owned by the project and unlicensed. It will not be available for reuse.,No,Data protection of personal data,"
The data will not be shared due to restrictions on the use of personal data.
",ideXlab search platform,N/A,N/A,N/A,N/A,Until the end of the project,Est. 1000 returns ,"
ideXlab lead data management and curation, other WP1 partners will contribute
",Backed up to an internal ideXlab respository,Approx 2 person days per month. No other external costs 
WP2,ODI,Related course data regarding similar modules and training offerings across the EU,DataScienceCourses,Finished,No,Collected,Course websites,600 KB,Internal use for development of curricula and learning materials. External use for identfying useful courses ,None.  The data will provide a useful resource for those wishing to understand what courses are available.,"Systematic search and review of available data science courses. The search terms were Data Science, Big Data, Data Analytics, Business Analytics, Machine Learning, Distributed Computing, Advanced Computing Data Science Stream, Data Analytics stream.
","
Metadata has been published alongside the data
",https://theodi.github.io/data-science-courses-in-europe-2016/,"
The data is licensed under a Creative Commons CC-BY 4.0 licence
",Yes,N/A,"
GitHub/EDSA website
","Github, EDSA website",Yes,https://theodi.github.io/data-science-courses-in-europe-2016/,https://theodi.github.io/data-science-courses-in-europe-2016/,Creative Commons Attribution (CC BY 4.0) https://creativecommons.org/licenses/by/4.0/,Until the end of the project,< 1GB,ODI lead data management and curation,"
Backed up to an internal ODI repository 
",0.5 days per month
WP2,Persontyle,Datasets for course examples and exercises,"Using namespace notation to specify R packages: sml::poly4, sml::poly4b, sml::kmeans, sml::seeds, car::Duncan, car::Davis, datasets::car, datasets::HairEyeColor, datasets::Airquality, datasets::swiss, bestGLM::zprostate, MASS::menarche",Finished,Yes,Both,Various - many from third party R packages students download from CRAN. Some in an author developed package.,12 small datasets. <1MB,"Students in the ""Essentials of Data Analytics and Machine Learning"" course.","Third party R packages students download from CRAN. Some in an author developed package hosted on CRAN
",None,"The datasets will be used within learning activities offered as part of the ""Essentials of Data Analytics and Machine Learning"" course. They are stored in the sml R package.","Package documentation (except, currently, for those in the sml package)","GNU GPL V3, http://www.gnu.org/licenses/gpl-3.0.en.html",Yes,N/A,"
Via R packages, searchable online.
",CRAN,Yes,"CRAN, except for sml package which is currently available on the EDSA portal and will move to CRAN when finished.","
https://vincentarelbundock.github.io/Rdatasets/datasets.html 
","GNU GPL V3, http://www.gnu.org/licenses/gpl-3.0.en.html","
As long as the owners do not remove them. If the datasets are no longer accessible, other similar datasets will be used in the module. 
",< 1MB,"
Persontyle lead data management and curation, third parties for collected data
",Relying on CRAN,None
WP2,TU/e,Event log from a municipality process,a07386a5-7be3-4367-9535-70bc9e77dbe6,Ongoing,Yes,Collected,Dutch municipality,200 KB,Users interested in real life event logs.,We have a large collection of real life event logs at http://data.3tu.nl/repository/collection:event_logs_real,Management throuh 3TU data center,"Includes number of traces, events, attributes, timespan, etc.",http://data.3tu.nl/repository/uuid:a07386a5-7be3-4367-9535-70bc9e77dbe6,Non-commercial licence,No,The data is shared and publically available for non-commercial reuse. Its non-commercial licence means it cannot be published openly.,http://data.3tu.nl/repository/uuid:a07386a5-7be3-4367-9535-70bc9e77dbe6,http://data.3tu.nl/repository/uuid:a07386a5-7be3-4367-9535-70bc9e77dbe6,Yes,http://data.3tu.nl/repository/uuid:a07386a5-7be3-4367-9535-70bc9e77dbe6,http://data.3tu.nl/repository/uuid:a07386a5-7be3-4367-9535-70bc9e77dbe6,unknown,"""
As long as the owners do not remove them. If the datasets are no longer accessible, other similar datasets will be used in the module. 
""",200 KB,3TU,"
Reliant on third party. If the dataset becomes unavailable we will use a similar one in the online module.
",none
